Gene,Xobs
sbmA,5.98
sdaA,164.7
sdaB,655.2
sdaC,1158.84
sdhA,278.61
sdhB,373.99
sdhC,243.86
sdhD,180.12
sdiA,33.44
secA,306.6
secB,1631.08
secD,207.69
secE,801.28
secF,223.68
secG,932.04
secM,43.78
secY,770.42
selA,49.6
selB,83.62
selD,210.09
selU,20.23
seqA,342.5
serA,393.82
serB,61
serC,279.84
serS,907.8
setA,4.37
sfsA,27.03
sgrR,17.8
shiA,12.6
shoB,2.18
sirA,166.1
sixA,95.45
skp,1545.36
slmA,179.58
slt,20.46
slyA,98.69
slyB,1425.96
slyD,2934.06
slyX,200.2
smf,1.65
smg,16.44
smpB,380.25
smtA,24.96
sodA,3869.25
sodB,2577.96
sohA,36.27
sohB,102.24
solA,78.26
soxS,105.74
speA,725.2
speB,920.18
speC,52.26
speD,487.64
speE,378.2
speG,171
spoT,35.28
sppA,41.87
spr,304.5
srlR,16.06
srmB,179.8
ssb,1110.42
sseA,65.36
sseB,112.24
sspA,934.36
sspB,227.52
sstT,132.05
sthA,65.25
stpA,2204.16
sucA,264.6
sucB,843.76
sucC,410.26
sucD,468
sufB,6
sufD,6.2
sufS,4.69
sugE,12.8
suhB,901.32
sulA,25.65
surA,296.48
surE,34.06
syd,75.15
tabA,80.15
tadA,53.28
tag,22.2
talB,1495.23
tas,68.64
tatA,488.6
tatB,81.2
tatC,88.14
tatD,19.53
tatE,267.41
tdcC,6.24
tdcE,6.85
tdcG,1.54
tdh,343.14
tdk,96.38
tehA,8.68
tehB,84.48
tesA,31.25
tesB,64.8
tgt,628.8
thiB,15.08
thiI,295.96
thiK,2.56
thiL,37.8
thiP,2.66
thiQ,7.5
thrA,292.04
thrB,153.09
thrC,375.2
thrL,861.82
thrS,932.4
thyA,236.52
tig,5352.96
tilS,38.22
tisB,1.92
tktA,1064.54
tktB,4.4
tldD,126.35
tmcA,4.25
tmk,72.16
tolA,36.48
tolB,468
tolC,674.68
tolQ,128.25
tolR,65.6
tomB,1.64
tonB,50.14
topA,216
topB,31.98
torR,19.98
tpiA,919.38
tpx,3649.4
treF,2.16
treR,18.62
trkA,43.74
trkG,4.41
trkH,18.2
trmA,146.88
trmD,160.29
trmH,46.2
trmI,335
trmJ,262.7
trmL,72.6
trpA,40.95
trpB,41.63
trpC,8.58
trpD,6.08
trpE,9.73
trpR,71.39
trpS,599.72
truA,68.64
truB,118.68
truC,42.21
truD,77
trxA,2660
trxB,662.49
trxC,131.04
tsf,7327.3
tsgA,45.1
tsx,1148.4
ttcA,367.36
tus,17.9
