Gene,Xobs
YMR288W,0.020123
YBR201W,0.110074
YHR074W,0.274974
YBR151W,0.310218
YER079W,0.126133
YJL045W,0.025108
YMR280C,0.007627
YJL001W,1.186974
YPR125W,0.423766
YPR022C,0.023558
YIL098C,0.333154
YKL146W,0.360807
YOL094C,0.381038
YDR298C,0.635787
YBR119W,0.118341
YKR089C,0.156424
YLR193C,0.181115
YNL320W,0.121486
YPR021C,0.049569
YOR367W,0.132219
YCR037C,0.023942
YER009W,2.061420
YIL119C,0.023160
YER042W,0.985266
YBR278W,0.102547
YOR008C,0.419468
YER033C,0.012318
YEL011W,0.039900
YDL073W,0.022675
YDR201W,0.167582
YCL034W,0.627529
YMR315W,0.862927
YBR163W,0.028055
YCR077C,0.418917
YPL124W,0.050242
YEL040W,4.598067
YDL149W,0.006506
YLR059C,0.257503
YBR171W,0.932285
YJL046W,0.030128
YGL156W,0.017707
YJL059W,0.095663
YAL049C,0.909575
YJL101C,0.112551
YEL060C,0.437544
YJR131W,0.125192
YGR202C,0.064704
YOR186W,0.038112
YHR193C,18.520250
YOR172W,0.020286
YHR157W,0.020083
YGL131C,0.012193
YOR321W,0.133860
YGR097W,0.135228
YOR198C,0.808372
YPL067C,0.112929
YLR166C,0.025059
YLR253W,0.051458
YMR063W,0.004394
YBR299W,0.026707
YHR047C,0.616165
YLR347C,0.249803
YML072C,0.457276
YLL055W,0.008119
YGL207W,0.363627
YIL153W,0.033890
YHL028W,0.027790
YER105C,0.152294
YAL058W,0.233549
YOR131C,0.456689
YGR046W,0.046699
YDR007W,0.152375
YFL068W,0.036433
YIL083C,0.527729
YLR086W,0.011981
YLR438W,0.836820
YPL183C,0.110251
YCR100C,0.005214
YML102W,0.167140
YBR046C,0.277892
YMR256C,0.939463
YGR150C,0.010205
YGL220W,1.281593
YEL036C,1.318802
YDR300C,0.379276
YDR216W,0.008275
YMR323W,0.024609
YMR080C,0.153368
YER010C,0.130488
YBR155W,0.297101
YKL021C,0.385577
YNR032W,0.053006
YIR011C,0.794598
YPR020W,0.325161
YKR082W,0.130642
YHR126C,0.037069
YER182W,0.165105
YKL210W,1.297348
YHR075C,0.038622
YKL042W,0.054012
YDR391C,0.203439
YDL108W,0.132062
YGL158W,0.031954
YGL238W,0.207652
YCR010C,0.046009
YDL093W,0.171059
YDR046C,0.389060
YPL070W,0.052285
YCL035C,1.928943
YER049W,0.876165
YPL115C,0.052852
YJR147W,0.031076
YDR213W,0.013439
YPL095C,0.062624
YOR304W,0.050862
YLR126C,0.181224
YGR180C,2.985512
YCL008C,0.026317
YLL008W,0.460721
YNL082W,0.040429
YGR061C,1.127671
YDL148C,0.232979
YGR289C,0.018095
